"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2022/12/25","12:42","0.622","-","0.569"
"2022/12/25","12:48","0.649","-","0.592"
"2022/12/25","12:54","0.675","-","0.617"
"2022/12/25","13:00","0.7","-","0.64"
"2022/12/25","13:06","0.725","-","0.663"
"2022/12/25","13:12","0.748","-","0.684"
"2022/12/25","13:18","0.771","-","0.707"
"2022/12/25","13:24","0.792","-","0.736"
"2022/12/25","13:30","0.813","-","0.752"
"2022/12/25","13:36","0.833","-","0.774"
"2022/12/25","13:42","0.852","-","0.797"
"2022/12/25","13:48","0.869","-","0.819"
"2022/12/25","13:54","0.886","-","0.833"
"2022/12/25","14:00","0.902","-","0.854"
"2022/12/25","14:06","0.917","-","0.87"
"2022/12/25","14:12","0.931","-","0.887"
"2022/12/25","14:18","0.943","-","0.907"
"2022/12/25","14:24","0.955","-","0.922"
"2022/12/25","14:30","0.966","-","0.944"
"2022/12/25","14:36","0.976","-","0.948"
"2022/12/25","14:42","0.984","-","0.957"
"2022/12/25","14:48","0.992","-","0.968"
"2022/12/25","14:54","0.999","-","0.982"
"2022/12/25","15:00","1.004","-","0.987"
"2022/12/25","15:06","1.008","-","0.988"
"2022/12/25","15:12","1.012","-","0.993"
"2022/12/25","15:18","1.014","-","1.005"
"2022/12/25","15:24","1.015","-","1"
"2022/12/25","15:30","1.015","-","0.996"
"2022/12/25","15:36","1.013","-","0.995"
"2022/12/25","15:42","1.011","-","0.996"
"2022/12/25","15:48","1.007","-","0.996"
"2022/12/25","15:54","1.002","-","0.985"
"2022/12/25","16:00","0.996","-","0.97"
"2022/12/25","16:06","0.989","-","0.956"
"2022/12/25","16:12","0.98","-","0.944"
"2022/12/25","16:18","0.97","-","0.923"
"2022/12/25","16:24","0.96","-","0.902"
"2022/12/25","16:30","0.948","-","0.887"
"2022/12/25","16:36","0.935","-","0.875"
"2022/12/25","16:42","0.921","-","0.859"
"2022/12/25","16:48","0.906","-","0.841"
"2022/12/25","16:54","0.89","-","0.83"
"2022/12/25","17:00","0.874","-","0.805"
"2022/12/25","17:06","0.856","-","0.793"
"2022/12/25","17:12","0.838","-","0.775"
"2022/12/25","17:18","0.819","-","0.764"
"2022/12/25","17:24","0.8","-","0.741"
"2022/12/25","17:30","0.78","-","0.725"
"2022/12/25","17:36","0.759","-","0.701"
"2022/12/25","17:42","0.738","-","0.684"
"2022/12/25","17:48","0.717","-","0.666"
"2022/12/25","17:54","0.695","-","0.64"
"2022/12/25","18:00","0.673","-","0.626"
"2022/12/25","18:06","0.651","-","0.599"
"2022/12/25","18:12","0.628","-","0.587"
"2022/12/25","18:18","0.605","-","0.571"
"2022/12/25","18:24","0.583","-","0.552"
"2022/12/25","18:30","0.559","-","0.537"
"2022/12/25","18:36","0.536","-","0.521"
"2022/12/25","18:42","0.513","-","0.505"
"2022/12/25","18:48","0.489","-","0.485"
"2022/12/25","18:54","0.465","-","0.461"
"2022/12/25","19:00","0.441","-","0.437"
"2022/12/25","19:06","0.417","-","0.411"
"2022/12/25","19:12","0.393","-","0.39"
"2022/12/25","19:18","0.369","-","0.359"
"2022/12/25","19:24","0.345","-","0.335"
"2022/12/25","19:30","0.321","-","0.312"
"2022/12/25","19:36","0.296","-","0.294"
"2022/12/25","19:42","0.272","-","0.271"
"2022/12/25","19:48","0.247","-","0.249"
"2022/12/25","19:54","0.223","-","0.233"
"2022/12/25","20:00","0.199","-","0.212"
"2022/12/25","20:06","0.175","-","0.185"
"2022/12/25","20:12","0.151","-","0.158"
"2022/12/25","20:18","0.127","-","0.123"
"2022/12/25","20:24","0.104","-","0.096"
"2022/12/25","20:30","0.081","-","0.074"
"2022/12/25","20:36","0.059","-","0.048"
"2022/12/25","20:42","0.037","-","0.018"
"2022/12/25","20:48","0.017","-","-0.011"
"2022/12/25","20:54","-0.004","-","-0.04"
"2022/12/25","21:00","-0.023","-","-0.068"
"2022/12/25","21:06","-0.041","-","-0.093"
"2022/12/25","21:12","-0.058","-","-0.115"
"2022/12/25","21:18","-0.074","-","-0.135"
"2022/12/25","21:24","-0.089","-","-0.152"
"2022/12/25","21:30","-0.102","-","-0.167"
"2022/12/25","21:36","-0.114","-","-0.186"
"2022/12/25","21:42","-0.124","-","-0.192"
"2022/12/25","21:48","-0.133","-","-0.201"
"2022/12/25","21:54","-0.14","-","-0.208"
"2022/12/25","22:00","-0.146","-","-0.212"
"2022/12/25","22:06","-0.149","-","-0.219"
"2022/12/25","22:12","-0.151","-","-0.219"
"2022/12/25","22:18","-0.152","-","-0.211"
"2022/12/25","22:24","-0.15","-","-0.208"
"2022/12/25","22:30","-0.146","-","-0.204"
"2022/12/25","22:36","-0.141","-","-0.2"
"2022/12/25","22:42","-0.134","-","-0.197"
"2022/12/25","22:48","-0.126","-","-0.189"
"2022/12/25","22:54","-0.115","-","-0.182"
"2022/12/25","23:00","-0.103","-","-0.167"
"2022/12/25","23:06","-0.089","-","-0.157"
"2022/12/25","23:12","-0.074","-","-0.142"
"2022/12/25","23:18","-0.057","-","-0.125"
"2022/12/25","23:24","-0.039","-","-0.097"
"2022/12/25","23:30","-0.02","-","-0.073"
"2022/12/25","23:36","0","-","-0.05"
"2022/12/25","23:42","0.022","-","-0.022"
"2022/12/25","23:48","0.044","-","0.007"
"2022/12/25","23:54","0.067","-","0.04"
